fid,gid,PROVINCIA,DEPARTAMENTO,JUL2020_median,AGO2020_median,SEP2020_median,OCT2020_median,NOV2020_median,DIC2020_median,ENE2021_median,FEB2021_median,MAR2021_median,ABR2021_median,MAY2021_median,JUN2021_median,JUL2021_median,AGO2021_median,SEP2021_median,OCT2021_median,NOV2021_median,DIC2021_median,ENE2022_median,FEB2022_median,MAR2022_median,ABR2022_median,MAY2022_median,JUN2022_median,JUL2022_median,AGO2022_median,SEP2022_median,OCT2022_median,NOV2022_median,DIC2022_median,ENE2023_median,FEB2023_median,MAR2023_median,ABR2023_median,MAY2023_median,JUN2023_median,PROVINCIA
70,1204,Buenos Aires,Carlos Tejedor,0,0,0,0,0,1,2,3,3,3,2,1,0,0,0,0,0,0,0,0,0,0,0,1,2,3,3,4,5,5,5,5,7,8,9,9,Buenos Aires
71,1205,Buenos Aires,25 de Mayo,0,0,0,0,0,0,0,1,2,2,1,0,0,0,0,0,0,1,1,1,0,0,0,1,2,3,4,5,7,7,7,7,8,9,9,9,Buenos Aires
72,1206,Buenos Aires,9 de Julio,0,0,0,0,0,0,1,2,3,3,2,1,0,0,0,0,0,0,0,0,0,0,0,1,2,3,4,6,8,8,7,7,8,9,9,9,Buenos Aires
73,1207,Buenos Aires,Pehuajó,0,0,0,0,0,1,2,3,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,3,4,5,5,4,3,4,5,7,8,Buenos Aires
74,1208,Buenos Aires,Trenque Lauquen,0,0,0,0,0,0,0,1,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,3,4,4,4,3,4,5,6,7,8,Buenos Aires
75,1209,Buenos Aires,General Belgrano,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,1,0,0,0,1,1,1,2,4,7,6,6,6,8,8,6,4,Buenos Aires
76,1210,Buenos Aires,Monte,0,0,0,0,0,1,1,2,1,0,0,0,0,0,0,0,1,2,2,1,0,0,0,1,1,1,2,4,7,7,8,8,9,9,7,5,Buenos Aires
77,1211,Buenos Aires,Roque Pérez,0,0,0,0,0,0,1,2,2,1,0,0,0,0,0,0,1,2,2,1,0,0,0,1,1,1,2,4,7,8,9,9,9,9,7,5,Buenos Aires
78,1212,Buenos Aires,Olavarría,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,5,5,4,3,3,3,3,3,Buenos Aires
79,1213,Buenos Aires,Merlo,0,0,0,0,0,1,2,3,2,1,0,0,0,0,0,1,3,5,6,5,3,1,1,2,3,4,5,7,8,9,9,9,9,9,7,5,Buenos Aires
80,1214,Buenos Aires,Esteban Echeverría,0,0,0,0,0,1,2,3,2,1,0,0,0,0,0,1,3,5,6,5,3,1,1,2,3,4,5,7,8,9,9,9,9,9,7,5,Buenos Aires
81,1215,Buenos Aires,Arrecifes,0,0,0,0,1,2,3,3,3,3,2,1,0,0,0,1,3,5,4,3,1,1,1,2,4,5,6,8,9,9,9,9,9,9,7,5,Buenos Aires
82,1216,Buenos Aires,Capitán Sarmiento,0,0,0,0,1,2,3,3,3,3,2,1,0,0,0,1,3,5,4,2,0,0,1,2,3,4,6,8,9,9,9,9,9,9,7,5,Buenos Aires
83,1217,Buenos Aires,Carmen de Areco,0,0,0,0,0,1,2,3,3,3,2,1,0,0,0,1,3,5,4,2,0,0,1,2,3,4,6,8,9,9,9,9,9,9,7,5,Buenos Aires
84,1218,Buenos Aires,Salto,0,0,0,0,0,1,2,3,3,3,2,1,0,0,0,0,1,2,2,1,0,0,1,3,5,6,7,8,9,9,9,9,9,9,8,7,Buenos Aires
85,1219,Buenos Aires,Exaltación de la Cruz,0,0,0,0,1,2,3,3,3,3,2,1,0,0,0,1,3,5,6,5,3,1,1,2,3,4,6,8,9,9,9,9,9,9,7,5,Buenos Aires
86,1220,Buenos Aires,San Miguel,0,0,0,0,0,1,2,3,2,1,0,0,0,0,0,1,3,5,6,5,3,1,1,2,3,4,5,7,8,9,9,9,9,9,7,5,Buenos Aires
87,1221,Buenos Aires,San Andrés de Giles,0,0,0,0,0,1,2,3,3,3,2,1,0,0,0,1,3,5,4,2,0,0,1,2,3,4,6,8,9,9,9,9,9,9,7,5,Buenos Aires
88,1222,Buenos Aires,Junín,0,0,0,0,0,1,2,3,3,3,2,1,0,0,0,0,0,0,0,0,0,0,1,3,5,6,7,8,9,8,8,8,9,9,8,7,Buenos Aires
89,1223,Buenos Aires,Mercedes,0,0,0,0,0,1,2,3,3,3,2,1,0,0,0,1,3,5,4,2,0,0,1,2,3,4,6,8,9,9,9,9,9,9,7,5,Buenos Aires
90,1224,Buenos Aires,Pilar,0,0,0,0,1,2,3,3,3,2,1,0,0,0,0,1,3,5,6,5,3,1,1,2,3,4,6,8,9,9,9,9,9,9,7,5,Buenos Aires
91,1225,Buenos Aires,Luján,0,0,0,0,0,1,2,3,3,3,2,1,0,0,0,1,3,5,6,5,3,1,1,2,3,4,6,8,9,9,9,9,9,9,7,5,Buenos Aires
92,1226,Buenos Aires,Hurlingham,0,0,0,0,0,1,2,3,2,1,0,0,0,0,0,1,3,5,6,5,3,1,1,2,3,4,5,7,8,9,9,9,9,9,7,5,Buenos Aires
93,1227,Buenos Aires,Morón,0,0,0,0,0,1,2,3,2,1,0,0,0,0,0,1,3,5,6,5,3,1,1,2,3,4,5,7,8,9,9,9,9,9,7,5,Buenos Aires
94,1228,Buenos Aires,Chacabuco,0,0,0,0,0,1,2,3,3,3,2,1,0,0,0,0,1,2,2,1,0,0,1,2,3,4,6,8,9,9,9,9,9,9,8,7,Buenos Aires
95,1229,Buenos Aires,Malvinas Argentinas,0,0,0,0,0,1,2,3,2,1,0,0,0,0,0,1,3,5,6,5,3,1,1,2,3,4,5,7,8,9,9,9,9,9,7,5,Buenos Aires
96,1230,Buenos Aires,General San Martín,0,0,0,0,0,1,2,3,2,1,0,0,0,0,0,1,3,5,6,5,3,1,1,2,3,4,5,7,8,9,9,9,9,9,7,5,Buenos Aires
97,1231,Buenos Aires,Lincoln,0,0,0,0,0,1,2,3,3,3,2,1,0,0,0,0,0,0,0,0,0,0,0,1,2,3,5,7,9,8,8,8,9,9,9,9,Buenos Aires
98,1232,Buenos Aires,Ituzaingó,0,0,0,0,0,1,2,3,2,1,0,0,0,0,0,1,3,5,6,5,3,1,1,2,3,4,5,7,8,9,9,9,9,9,7,5,Buenos Aires
99,1233,Buenos Aires,General Rodríguez,0,0,0,0,0,1,2,3,3,2,1,0,0,0,0,1,3,5,6,5,3,1,1,2,3,4,5,7,8,9,9,9,9,9,7,5,Buenos Aires
100,1234,Buenos Aires,Suipacha,0,0,0,0,0,1,2,3,3,3,2,1,0,0,0,1,3,5,4,2,0,0,1,2,3,4,6,8,9,9,9,9,9,9,8,7,Buenos Aires
101,1235,Buenos Aires,Tres de Febrero,0,0,0,0,0,1,2,3,2,1,0,0,0,0,0,1,3,5,6,5,3,1,1,2,3,4,5,7,8,9,9,9,9,9,7,5,Buenos Aires
102,1237,Buenos Aires,Chivilcoy,0,0,0,0,0,1,2,3,3,3,2,1,0,0,0,0,1,2,2,1,0,0,0,1,2,4,6,8,9,9,9,9,9,9,8,7,Buenos Aires
103,1238,Buenos Aires,Alberti,0,0,0,0,0,1,2,3,3,3,2,1,0,0,0,0,1,2,2,1,0,0,0,1,2,3,5,7,9,8,8,8,9,9,8,7,Buenos Aires
104,1239,Buenos Aires,Bragado,0,0,0,0,0,1,2,3,3,3,2,1,0,0,0,0,0,1,1,1,0,0,0,1,2,3,4,6,8,8,8,8,9,9,9,9,Buenos Aires
105,1240,Buenos Aires,General Las Heras,0,0,0,0,0,1,2,3,2,1,0,0,0,0,0,1,3,5,4,2,0,0,1,2,3,4,6,8,9,9,9,9,9,9,7,5,Buenos Aires
106,1241,Buenos Aires,Marcos Paz,0,0,0,0,0,1,2,3,2,1,0,0,0,0,0,1,3,5,6,5,3,1,1,2,3,4,5,7,8,9,9,9,9,9,7,5,Buenos Aires
107,1242,Buenos Aires,General Viamonte,0,0,0,0,0,1,2,3,3,3,2,1,0,0,0,0,0,0,0,0,0,0,0,1,2,3,5,7,9,8,8,8,9,9,9,9,Buenos Aires
108,1243,Buenos Aires,Ezeiza,0,0,0,0,0,1,2,3,2,1,0,0,0,0,0,1,3,5,6,5,3,1,1,2,3,4,5,7,8,9,9,9,9,9,7,5,Buenos Aires
109,1244,Buenos Aires,Florencio Varela,0,0,0,0,0,1,2,2,1,0,0,0,0,0,0,1,3,5,6,5,3,1,0,1,1,3,4,7,8,9,9,9,9,9,7,5,Buenos Aires
110,1245,Buenos Aires,Navarro,0,0,0,0,0,1,2,3,3,2,1,0,0,0,0,1,3,5,4,2,0,0,0,1,2,4,6,8,9,9,9,9,9,9,7,5,Buenos Aires
111,1246,Buenos Aires,Cañuelas,0,0,0,0,0,1,2,3,2,1,0,0,0,0,0,1,3,5,6,5,3,1,0,1,1,3,4,7,8,9,9,9,9,9,7,5,Buenos Aires
112,1247,Buenos Aires,San Vicente,0,0,0,0,0,1,2,2,1,0,0,0,0,0,0,1,3,5,6,5,3,1,0,1,1,3,4,7,8,9,9,9,9,9,7,5,Buenos Aires
113,1248,Buenos Aires,Lobos,0,0,0,0,0,1,2,3,2,1,0,0,0,0,0,0,1,2,2,1,0,0,0,1,2,3,4,6,8,9,9,9,9,9,7,5,Buenos Aires
114,1249,Buenos Aires,General Alvear,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,3,5,5,5,6,7,7,6,6,Buenos Aires
115,1250,Buenos Aires,Quilmes,0,0,0,0,0,1,2,3,2,1,0,0,0,0,0,1,3,5,6,5,3,1,0,1,2,4,5,7,8,9,9,9,9,9,7,5,Buenos Aires
116,1251,Buenos Aires,General La Madrid,0,0,0,0,0,0,0,1,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,3,4,3,2,0,0,Buenos Aires
117,1252,Buenos Aires,Bolívar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,5,5,4,3,3,3,4,5,Buenos Aires
118,1253,Buenos Aires,Balcarce,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,3,3,2,0,0,0,0,0,0,0,2,3,3,2,2,2,1,0,0,Buenos Aires
119,1254,Buenos Aires,Tapalqué,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,5,5,5,5,5,4,3,3,Buenos Aires
120,1255,Buenos Aires,Hipólito Yrigoyen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,5,5,4,3,3,3,4,5,Buenos Aires
121,1256,Buenos Aires,Dolores,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,3,2,0,0,0,1,1,1,1,3,5,5,4,4,5,6,5,4,Buenos Aires
122,1257,Buenos Aires,Azul,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,3,5,5,4,3,2,1,1,1,Buenos Aires
