key,PROVINCIA,DEPARTAMENTO,VP,FN,FP,VN
chaco|generalbelgrano,Chaco,General Belgrano,11,0,9,16
chaco|generaldonovan,Chaco,General Donovan,8,0,19,9
entrerios|villaguay,Entre Rios,Villaguay,3,0,13,20
entrerios|federal,Entre Rios,Federal,3,0,13,20
entrerios|sansalvador,Entre Rios,San Salvador,3,0,13,20
entrerios|nogoya,Entre Rios,Nogoyá,6,0,10,20
entrerios|tala,Entre Rios,Tala,5,0,11,20
entrerios|lapaz,Entre Rios,La Paz,4,0,12,20
entrerios|feliciano,Entre Rios,Feliciano,5,0,11,20
entrerios|parana,Entre Rios,Paraná,6,2,10,18
entrerios|diamante,Entre Rios,Diamante,7,6,9,14
santafe|lascolonias,Santa Fe,Las Colonias,7,1,9,19
santafe|sanjusto,Santa Fe,San Justo,5,0,11,20
santafe|castellanos,Santa Fe,Castellanos,7,1,9,19
santafe|sanmartin,Santa Fe,San Martín,7,2,9,18
santafe|generalobligado,Santa Fe,General Obligado,9,0,7,20
santafe|vera,Santa Fe,Vera,7,0,9,20
santafe|9dejulio,Santa Fe,9 de Julio,5,0,11,20
santafe|sancristobal,Santa Fe,San Cristóbal,5,0,11,20
santafe|lacapital,Santa Fe,La Capital,6,0,10,20
santafe|sanjavier,Santa Fe,San Javier,5,0,11,20
santafe|garay,Santa Fe,Garay,6,5,10,15
santafe|sanjeronimo,Santa Fe,San Jerónimo,7,1,9,19
misiones|capital,Misiones,Capital,2,0,14,20
misiones|sanignacio,Misiones,San Ignacio,2,0,14,20
misiones|candelaria,Misiones,Candelaria,2,0,14,20
misiones|montecarlo,Misiones,Montecarlo,2,0,14,20
misiones|cainguas,Misiones,Cainguás,2,0,14,20
misiones|obera,Misiones,Oberá,2,0,14,20
misiones|25demayo,Misiones,25 de Mayo,2,0,14,20
misiones|leandronalem,Misiones,Leandro N. Alem,2,0,14,20
misiones|sanjavier,Misiones,San Javier,2,0,14,20
misiones|concepcion,Misiones,Concepción,2,0,14,20
misiones|apostoles,Misiones,Apóstoles,2,0,14,20
misiones|guarani,Misiones,Guaraní,2,0,14,20
misiones|sanpedro,Misiones,San Pedro,1,4,15,16
misiones|iguazu,Misiones,Iguazú,1,3,15,17
misiones|generalmanuelbelgrano,Misiones,General Manuel Belgrano,1,4,15,16
misiones|eldorado,Misiones,Eldorado,2,0,14,20
misiones|libertadorgeneralsanmartin,Misiones,Libertador General San Martín,2,0,14,20
entrerios|federacion,Entre Rios,Federación,5,0,11,20
entrerios|colon,Entre Rios,Colón,3,0,13,20
entrerios|concordia,Entre Rios,Concordia,3,0,13,20
corrientes|sanluisdelpalmar,Corrientes,San Luis del Palmar,6,0,26,4
corrientes|mburucuya,Corrientes,Mburucuyá,6,0,26,4
corrientes|concepcion,Corrientes,Concepción,5,0,14,17
corrientes|mercedes,Corrientes,Mercedes,6,0,13,17
corrientes|sanroque,Corrientes,San Roque,8,0,24,4
corrientes|generalpaz,Corrientes,General Paz,6,0,26,4
corrientes|empedrado,Corrientes,Empedrado,6,0,26,4
corrientes|saladas,Corrientes,Saladas,8,0,24,4
corrientes|bellavista,Corrientes,Bella Vista,10,0,22,4
corrientes|lavalle,Corrientes,Lavalle,9,0,23,4
corrientes|goya,Corrientes,Goya,9,0,23,4
corrientes|esquina,Corrientes,Esquina,7,0,12,17
corrientes|sauce,Corrientes,Sauce,8,0,11,17
corrientes|curuzucuatia,Corrientes,Curuzú Cuatiá,8,0,11,17
corrientes|montecaseros,Corrientes,Monte Caseros,7,0,12,17
corrientes|pasodeloslibres,Corrientes,Paso de los Libres,5,0,14,17
corrientes|sanmartin,Corrientes,San Martín,5,0,14,17
corrientes|generalalvear,Corrientes,General Alvear,5,0,14,17
corrientes|santotome,Corrientes,Santo Tomé,5,0,14,17
corrientes|sanmiguel,Corrientes,San Miguel,5,0,14,17
corrientes|ituzaingo,Corrientes,Ituzaingó,5,0,14,17
corrientes|berondeastrada,Corrientes,Berón de Astrada,6,0,26,4
corrientes|itati,Corrientes,Itatí,4,0,28,4
corrientes|sancosme,Corrientes,San Cosme,6,0,26,4
corrientes|capital,Corrientes,Capital,9,0,23,4
cordoba|tulumba,Córdoba,Tulumba,5,6,0,25
cordoba|cruzdeleje,Córdoba,Cruz del Eje,0,0,0,36
cordoba|punilla,Córdoba,Punilla,0,8,5,23
cordoba|santamaria,Córdoba,Santa María,0,10,5,21
cordoba|minas,Córdoba,Minas,0,3,0,33
cordoba|sanalberto,Córdoba,San Alberto,0,9,5,22
cordoba|riosegundo,Córdoba,Río Segundo,5,9,0,22
cordoba|sanjusto,Córdoba,San Justo,5,3,2,26
cordoba|rioseco,Córdoba,Río Seco,3,6,2,25
cordoba|sobremonte,Córdoba,Sobremonte,2,6,3,25
cordoba|capital,Córdoba,Capital,0,9,0,27
cordoba|colon,Córdoba,Colón,0,9,5,22
cordoba|ischilin,Córdoba,Ischilín,0,1,5,30
