key,PROVINCIA,DEPARTAMENTO,VP,FN,FP,VN
buenosaires|leandronalem,Buenos Aires,Leandro N. Alem,10,1,3,22
buenosaires|generalarenales,Buenos Aires,General Arenales,11,1,2,22
buenosaires|patagones,Buenos Aires,Patagones,2,0,18,16
buenosaires|coroneldemarinaleonardorosales,Buenos Aires,Coronel de Marina Leonardo Rosales,0,0,0,36
buenosaires|baradero,Buenos Aires,Baradero,9,9,4,14
buenosaires|sanpedro,Buenos Aires,San Pedro,9,5,5,17
buenosaires|florentinoameghino,Buenos Aires,Florentino Ameghino,4,6,4,22
buenosaires|lanus,Buenos Aires,Lanús,0,9,0,27
buenosaires|lomasdezamora,Buenos Aires,Lomas de Zamora,0,9,0,27
buenosaires|avellaneda,Buenos Aires,Avellaneda,0,9,0,27
buenosaires|laplata,Buenos Aires,La Plata,8,1,2,25
buenosaires|pila,Buenos Aires,Pila,7,0,3,26
entrerios|victoria,Entre Rios,Victoria,8,9,8,11
entrerios|gualeguay,Entre Rios,Gualeguay,8,9,8,11
santafe|constitucion,Santa Fe,Constitución,10,9,6,11
santafe|rosario,Santa Fe,Rosario,10,8,6,12
santafe|iriondo,Santa Fe,Iriondo,10,6,6,14
lapampa|caleucaleu,La Pampa,Caleu Caleu,0,0,3,33
lapampa|chapaleufu,La Pampa,Chapaleufú,0,7,0,29
lapampa|rancul,La Pampa,Rancul,5,0,6,25
lapampa|lihuelcalel,La Pampa,Lihuel Calel,0,0,3,33
lapampa|hucal,La Pampa,Hucal,0,0,0,36
lapampa|limaymahuida,La Pampa,Limay Mahuida,0,0,11,25
lapampa|guatrache,La Pampa,Guatraché,0,0,0,36
lapampa|maraco,La Pampa,Maracó,0,5,0,31
lapampa|realico,La Pampa,Realicó,5,1,6,24
lapampa|utracan,La Pampa,Utracán,0,0,0,36
lapampa|toay,La Pampa,Toay,0,0,11,25
lapampa|capital,La Pampa,Capital,0,0,0,36
lapampa|trenel,La Pampa,Trenel,5,0,6,25
lapampa|conhelo,La Pampa,Conhelo,5,0,6,25
lapampa|loventue,La Pampa,Loventué,0,0,11,25
buenosaires|sanfernando,Buenos Aires,San Fernando,0,17,0,19
buenosaires|tigre,Buenos Aires,Tigre,0,12,0,24
buenosaires|rivadavia,Buenos Aires,Rivadavia,4,1,2,29
santafe|generallopez,Santa Fe,General López,9,6,0,21
santafe|caseros,Santa Fe,Caseros,11,6,5,14
santafe|sanlorenzo,Santa Fe,San Lorenzo,10,8,6,12
lapampa|atreuco,La Pampa,Atreucó,0,0,0,36
lapampa|catrilo,La Pampa,Catriló,0,3,0,33
lapampa|quemuquemu,La Pampa,Quemú Quemú,0,3,0,33
lapampa|curaco,La Pampa,Curacó,0,0,3,33
santafe|belgrano,Santa Fe,Belgrano,8,6,8,14
entrerios|islasdelibicuy,Entre Rios,Islas del Ibicuy,8,9,8,11
entrerios|uruguay,Entre Rios,Uruguay,6,1,10,19
entrerios|gualeguaychu,Entre Rios,Gualeguaychú,8,8,8,12
cordoba|union,Córdoba,Unión,7,7,0,22
cordoba|terceroarriba,Córdoba,Tercero Arriba,5,10,0,21
cordoba|riocuarto,Córdoba,Río Cuarto,1,10,4,21
cordoba|presidenteroquesaenzpena,Córdoba,Presidente Roque Sáenz Peña,5,9,0,22
cordoba|generalroca,Córdoba,General Roca,5,10,0,21
cordoba|juarezcelman,Córdoba,Juárez Celman,5,10,0,21
cordoba|generalsanmartin,Córdoba,General San Martín,5,10,0,21
cordoba|marcosjuarez,Córdoba,Marcos Juárez,7,8,0,21
chaco|ohiggins,Chaco,O'Higgins,11,0,9,16
chaco|12deoctubre,Chaco,12 de Octubre,12,1,8,15
formosa|pilagas,Formosa,Pilagás,10,2,18,6
formosa|laishi,Formosa,Laishi,7,7,12,10
formosa|pirane,Formosa,Pirané,8,4,11,13
chaco|generalguemes,Chaco,General Güemes,17,3,10,6
formosa|patino,Formosa,Patiño,10,8,9,9
chaco|tapenaga,Chaco,Tapenagá,14,0,13,9
chaco|quitilipi,Chaco,Quitilipi,7,0,20,9
chaco|presidenciadelaplaza,Chaco,Presidencia de la Plaza,8,0,19,9
chaco|sargentocabral,Chaco,Sargento Cabral,9,0,18,9
chaco|independencia,Chaco,Independencia,11,0,16,9
chaco|mayorluisjfontana,Chaco,Mayor Luis J. Fontana,12,2,8,14
chaco|frayjustosantamariadeoro,Chaco,Fray Justo Santa María de Oro,7,1,13,15
chaco|maipu,Chaco,Maipú,10,0,17,9
chaco|almirantebrown,Chaco,Almirante Brown,12,1,15,8
chaco|chacabuco,Chaco,Chacabuco,12,0,8,16
formosa|formosa,Formosa,Formosa,9,6,10,11
formosa|pilcomayo,Formosa,Pilcomayo,9,5,19,3
chaco|libertadorgeneralsanmartin,Chaco,Libertador General San Martín,12,1,15,8
chaco|bermejo,Chaco,Bermejo,14,1,13,8
chaco|1demayo,Chaco,1° de Mayo,16,1,11,8
chaco|9dejulio,Chaco,9 de Julio,11,0,9,16
chaco|sanfernando,Chaco,San Fernando,16,0,11,9
chaco|sanlorenzo,Chaco,San Lorenzo,11,0,9,16
chaco|2deabril,Chaco,2 de Abril,12,1,8,15
chaco|25demayo,Chaco,25 de Mayo,9,0,18,9
chaco|libertad,Chaco,Libertad,10,0,17,9
chaco|comandantefernandez,Chaco,Comandante Fernández,11,0,16,9
chaco|generalbelgrano,Chaco,General Belgrano,11,0,9,16
chaco|generaldonovan,Chaco,General Donovan,10,0,17,9
entrerios|villaguay,Entre Rios,Villaguay,5,0,11,20
entrerios|federal,Entre Rios,Federal,6,0,10,20
entrerios|sansalvador,Entre Rios,San Salvador,3,0,13,20
entrerios|nogoya,Entre Rios,Nogoyá,7,4,9,16
entrerios|tala,Entre Rios,Tala,6,2,10,18
entrerios|lapaz,Entre Rios,La Paz,7,5,9,15
entrerios|feliciano,Entre Rios,Feliciano,8,0,8,20
entrerios|parana,Entre Rios,Paraná,7,6,9,14
entrerios|diamante,Entre Rios,Diamante,7,9,9,11
santafe|lascolonias,Santa Fe,Las Colonias,7,2,9,18
santafe|sanjusto,Santa Fe,San Justo,6,0,10,20
santafe|castellanos,Santa Fe,Castellanos,7,2,9,18
santafe|sanmartin,Santa Fe,San Martín,8,4,8,16
santafe|generalobligado,Santa Fe,General Obligado,10,5,6,15
santafe|vera,Santa Fe,Vera,10,0,6,20
santafe|9dejulio,Santa Fe,9 de Julio,8,0,8,20
santafe|sancristobal,Santa Fe,San Cristóbal,7,1,9,19
