fid,gid,objeto,fna,gna,nam,in1,JUL2020_median,AGO2020_median,SEP2020_median,OCT2020_median,NOV2020_median,DIC2020_median,ENE2021_median,FEB2021_median,MAR2021_median,ABR2021_median,MAY2021_median,JUN2021_median,JUL2021_median,AGO2021_median,SEP2021_median,OCT2021_median,NOV2021_median,DIC2021_median,ENE2022_median,FEB2022_median,MAR2022_median,ABR2022_median,MAY2022_median,JUN2022_median,JUL2022_median,AGO2022_median,SEP2022_median,OCT2022_median,NOV2022_median,DIC2022_median,ENE2023_median,FEB2023_median,MAR2023_median,ABR2023_median,MAY2023_median,JUN2023_median
126,1261,Departamento,Partido de Guaminí,Partido,Guaminí,06399,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,3,3,3,4,4,4,4,5
127,1262,Departamento,Partido de Ensenada,Partido,Ensenada,06245,0,0,0,0,0,1,2,2,1,0,0,0,0,0,0,1,3,5,6,5,3,1,0,1,1,3,4,7,8,9,9,9,9,9,7,5
128,1263,Departamento,Partido de Laprida,Partido,Laprida,06448,0,0,0,0,0,0,0,1,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,3,4,3,2,0,0
129,1264,Departamento,Partido de San Isidro,Partido,San Isidro,06756,0,0,0,0,0,1,2,3,2,1,0,0,0,0,0,1,3,5,6,5,3,1,1,2,3,4,5,7,8,9,9,9,9,9,7,5
130,1265,Departamento,Partido de Benito Juárez,Partido,Benito Juárez,06084,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,1,0,0,0,0,0,0,1,2,3,3,3,4,3,2,0,0
131,1266,Departamento,Partido de Colón,Partido,Colón,06175,0,1,2,3,3,4,5,6,5,4,2,1,0,0,0,0,1,2,2,1,0,0,1,2,4,5,7,8,9,9,9,9,9,9,7,5
132,1268,Departamento,Partido de Saavedra,Partido,Saavedra,06700,0,0,0,0,0,0,0,1,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,3,3,2,1,0
133,1269,Departamento,Partido de Monte Hermoso,Partido,Monte Hermoso,06553,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,2,2,2,2,2,1,0,0,0,0,0,1,2,3,3,2,1,0,0
134,1270,Departamento,Partido de Lobería,Partido,Lobería,06476,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,3,2,0,0,0,0,0,0,0,1,2,3,3,3,2,1,0,0
135,1271,Departamento,Partido de Berisso,Partido,Berisso,06098,0,0,0,0,0,1,2,2,1,0,0,0,0,0,0,1,3,5,6,5,3,1,0,1,1,3,4,7,8,8,8,8,9,9,7,5
136,1272,Departamento,Partido de Tordillo,Partido,Tordillo,06812,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,3,2,0,0,0,1,1,1,0,2,4,5,4,4,4,4,2,1
137,1273,Departamento,Partido de Zárate,Partido,Zárate,06882,0,0,0,0,1,2,3,3,3,3,2,3,4,6,6,5,4,4,5,6,5,4,2,2,2,4,6,8,9,9,9,9,9,9,7,5
138,1274,Departamento,Partido de Ramallo,Partido,Ramallo,06665,0,1,2,3,3,4,5,6,5,4,2,1,0,0,0,1,3,5,6,5,3,1,0,1,2,4,6,8,9,9,9,9,9,9,7,5
139,1275,Departamento,Partido de San Nicolás,Partido,San Nicolás,06763,0,1,2,3,3,4,5,6,5,4,2,1,0,0,0,1,3,5,6,6,4,2,0,1,3,5,7,8,9,9,9,9,9,9,7,5
140,1294,Departamento,Partido de Leandro N. Alem,Partido,Leandro N. Alem,06462,0,0,0,0,1,2,4,6,5,4,2,1,0,0,0,0,0,0,0,0,0,0,1,2,4,5,7,8,9,8,8,8,9,9,9,9
