fid,gid,objeto,fna,gna,nam,in1,JUL2020_median,AGO2020_median,SEP2020_median,OCT2020_median,NOV2020_median,DIC2020_median,ENE2021_median,FEB2021_median,MAR2021_median,ABR2021_median,MAY2021_median,JUN2021_median,JUL2021_median,AGO2021_median,SEP2021_median,OCT2021_median,NOV2021_median,DIC2021_median,ENE2022_median,FEB2022_median,MAR2022_median,ABR2022_median,MAY2022_median,JUN2022_median,JUL2022_median,AGO2022_median,SEP2022_median,OCT2022_median,NOV2022_median,DIC2022_median,ENE2023_median,FEB2023_median,MAR2023_median,ABR2023_median,MAY2023_median,JUN2023_median
385,1504,Departamento,Departamento Concepción,Departamento,Concepción,18028,0,0,1,2,3,3,2,1,0,0,1,2,3,3,3,3,2,2,4,7,8,5,2,0,0,0,0,1,2,4,5,7,7,7,5,4
386,1505,Departamento,Departamento Mercedes,Departamento,Mercedes,18105,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,2,2,4,7,8,5,2,0,0,0,1,2,3,4,6,8,8,7,5,4
387,1506,Departamento,Departamento San Roque,Departamento,San Roque,18161,0,0,2,4,5,4,2,1,0,0,0,0,0,0,0,1,1,2,4,7,8,5,2,0,0,0,1,2,3,4,6,8,8,7,6,6
388,1507,Departamento,Departamento General Paz,Departamento,General Paz,18063,1,1,2,4,5,4,3,3,2,1,1,2,3,3,3,3,2,2,4,7,8,6,3,1,0,0,0,0,0,1,3,6,7,6,4,3
389,1508,Departamento,Departamento Empedrado,Departamento,Empedrado,18042,2,2,4,5,5,4,3,3,2,1,1,2,3,3,3,3,2,2,4,7,8,6,4,2,1,0,0,1,2,4,5,7,7,7,5,4
390,1509,Departamento,Departamento Saladas,Departamento,Saladas,18126,1,1,3,5,5,4,2,1,0,0,1,2,3,3,3,3,2,2,4,7,8,6,3,1,0,0,0,1,2,4,5,7,7,7,6,6
391,1510,Departamento,Departamento Bella Vista,Departamento,Bella Vista,18007,3,4,5,6,5,4,2,1,0,0,0,0,0,0,0,1,1,2,4,7,8,5,2,0,0,0,1,2,4,6,8,9,8,7,6,6
392,1511,Departamento,Departamento Lavalle,Departamento,Lavalle,18091,0,0,2,4,5,4,2,1,0,0,0,0,0,0,0,1,1,2,4,7,8,5,2,1,2,3,3,3,4,6,8,9,8,7,6,6
393,1512,Departamento,Departamento Goya,Departamento,Goya,18070,0,0,1,2,3,3,2,1,0,0,0,0,0,0,0,1,1,2,4,7,6,4,2,1,2,3,3,3,4,6,8,9,8,7,6,6
394,1513,Departamento,Departamento Esquina,Departamento,Esquina,18049,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,2,4,7,6,3,0,1,2,3,3,3,4,6,8,9,8,7,5,5
395,1514,Departamento,Departamento Sauce,Departamento,Sauce,18175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,4,7,7,4,1,0,0,0,0,0,1,3,6,8,8,7,6,6
396,1515,Departamento,Departamento Curuzú Cuatiá,Departamento,Curuzú Cuatiá,18035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,4,7,7,4,1,0,0,0,1,2,3,5,8,9,8,7,6,6
397,1516,Departamento,Departamento Monte Caseros,Departamento,Monte Caseros,18112,0,0,0,1,2,3,2,1,0,0,0,0,0,0,0,1,2,3,5,7,7,4,1,0,0,0,0,0,1,3,5,7,7,7,6,6
398,1517,Departamento,Departamento Paso de los Libres,Departamento,Paso de los Libres,18119,0,0,0,0,1,2,2,1,0,0,0,0,0,1,2,3,3,3,5,7,7,4,1,0,0,0,1,2,3,4,5,7,7,6,4,3
399,1518,Departamento,Departamento San Martín,Departamento,San Martín,18147,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,3,3,3,5,7,7,4,1,0,0,0,0,0,0,1,3,6,7,6,4,3
400,1519,Departamento,Departamento General Alvear,Departamento,General Alvear,18056,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,3,3,3,5,7,7,4,1,0,0,0,0,0,0,1,3,6,7,6,4,3
401,1520,Departamento,Departamento Santo Tomé,Departamento,Santo Tomé,18168,0,0,0,0,0,0,0,1,1,1,1,1,1,2,3,2,2,2,5,7,8,5,2,0,0,0,0,0,0,1,3,6,7,6,3,2
402,1521,Departamento,Departamento San Miguel,Departamento,San Miguel,18154,0,0,1,3,4,4,2,1,0,0,1,2,3,3,3,3,2,2,4,7,8,5,2,1,0,0,0,0,0,1,3,6,7,6,4,3
403,1522,Departamento,Departamento Ituzaingó,Departamento,Ituzaingó,18084,0,0,1,1,3,4,3,2,1,1,1,2,3,3,3,3,2,2,5,7,8,5,2,0,0,0,0,0,0,1,3,6,7,6,4,3
404,1523,Departamento,Departamento Berón de Astrada,Departamento,Berón de Astrada,18014,3,2,2,3,4,4,3,3,2,1,1,2,3,3,3,3,2,2,4,7,8,6,3,1,0,0,0,0,0,1,3,6,7,6,4,3
405,1524,Departamento,Departamento Itatí,Departamento,Itatí,18077,4,3,3,4,5,4,3,3,2,1,1,2,3,3,3,3,2,2,4,6,5,4,3,2,1,0,0,0,0,1,3,6,7,6,4,3
406,1525,Departamento,Departamento San Cosme,Departamento,San Cosme,18133,4,4,4,5,5,4,3,3,2,1,1,2,3,3,3,3,2,2,4,7,8,6,4,2,1,0,0,1,2,3,4,6,7,6,4,3
407,1526,Departamento,Departamento Capital,Departamento,Capital,18021,4,4,4,5,6,6,5,4,2,1,1,2,3,3,3,3,2,2,4,7,8,6,4,2,1,0,0,1,2,4,6,8,8,6,4,3
408,1527,Departamento,Departamento Tulumba,Departamento,Tulumba,14175,0,0,1,2,3,3,2,1,0,0,0,0,1,2,3,3,2,2,2,3,2,2,2,3,5,6,6,6,7,8,8,7,6,6,6,6
409,1528,Departamento,Departamento Cruz del Eje,Departamento,Cruz del Eje,14028,0,0,1,2,3,3,2,1,0,0,0,0,1,2,3,3,2,1,1,1,0,1,2,3,3,3,3,3,3,3,3,3,3,3,3,3
410,1529,Departamento,Departamento Punilla,Departamento,Punilla,14091,3,5,6,6,6,5,3,1,0,0,0,0,0,0,0,0,0,1,1,1,0,1,2,4,5,6,6,6,6,6,5,4,3,3,3,3
411,1530,Departamento,Departamento Santa María,Departamento,Santa María,14147,4,5,6,6,6,5,3,1,0,0,0,0,0,0,0,0,0,1,1,2,1,2,3,5,6,6,6,7,8,9,7,5,3,3,3,3
412,1531,Departamento,Departamento Minas,Departamento,Minas,14070,2,4,6,6,6,5,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,3,3,3,3,3,3,3,3,3,3,3
413,1532,Departamento,Departamento San Alberto,Departamento,San Alberto,14126,3,5,6,6,6,5,3,1,0,0,0,0,0,0,0,0,0,1,1,2,2,3,3,5,6,6,6,6,6,6,5,4,3,3,3,3
414,1533,Departamento,Departamento Río Segundo,Departamento,Río Segundo,14119,3,4,6,6,6,5,3,1,0,0,0,0,0,0,0,0,0,1,1,2,1,2,2,4,5,6,6,7,8,9,8,7,6,6,6,6
415,1534,Departamento,Departamento San Justo,Departamento,San Justo,14140,0,1,2,3,4,4,3,1,0,0,0,0,0,0,0,1,1,2,2,3,2,1,1,2,4,5,6,7,8,9,9,9,8,7,5,4
416,1540,Departamento,Departamento Río Seco,Departamento,Río Seco,14112,0,0,1,2,3,3,2,1,0,0,0,0,1,2,3,3,2,2,2,3,2,1,1,3,5,6,6,6,7,8,8,7,6,6,5,4
417,1541,Departamento,Departamento Sobremonte,Departamento,Sobremonte,14154,0,0,1,1,1,0,0,0,0,0,0,0,1,2,3,3,2,2,2,3,2,2,2,4,5,6,6,6,7,8,7,6,5,6,5,4
418,1542,Departamento,Departamento Capital,Departamento,Capital,14014,3,4,6,6,6,5,3,1,0,0,0,0,0,0,0,0,0,1,1,2,1,2,2,4,5,6,6,7,8,9,7,5,3,3,3,3
419,1544,Departamento,Departamento Colón,Departamento,Colón,14021,2,4,6,6,6,5,3,1,0,0,0,0,0,0,0,0,0,1,1,2,1,2,2,4,5,6,6,6,7,8,7,5,3,3,4,5
420,1545,Departamento,Departamento Ischilín,Departamento,Ischilín,14049,0,0,1,2,3,3,2,1,0,0,0,0,1,2,3,3,2,2,1,1,0,1,2,3,3,3,3,4,5,6,5,4,3,3,3,3
421,1546,Departamento,Departamento Totoral,Departamento,Totoral,14168,0,1,2,3,3,3,2,1,0,0,0,0,0,0,1,2,2,2,2,3,2,2,2,4,5,6,6,6,7,8,8,7,6,6,6,6
422,1548,Departamento,Departamento San Javier,Departamento,San Javier,14133,3,5,6,6,6,5,3,1,0,0,0,0,0,0,0,0,0,1,1,2,2,3,4,5,6,6,6,7,7,7,5,4,3,3,2,1
423,1549,Departamento,Departamento Río Primero,Departamento,Río Primero,14105,0,1,2,3,3,3,2,1,0,0,0,0,0,0,0,0,0,1,2,3,2,1,1,3,5,6,6,7,8,9,8,7,6,6,6,6
424,1551,Departamento,Departamento Calamuchita,Departamento,Calamuchita,14007,4,5,6,6,6,5,3,1,0,0,0,0,0,0,0,0,0,1,1,2,2,3,4,5,6,6,6,7,7,7,5,4,3,3,3,3
425,1552,Departamento,Departamento Pocho,Departamento,Pocho,14077,3,5,6,6,6,5,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,3,3,3,4,5,5,4,3,3,3,3,3
454,1150,Departamento,Departamento Bermejo,Departamento,Bermejo,34007,2,4,5,6,6,5,3,1,0,0,0,0,1,2,3,2,1,1,3,5,6,6,6,6,6,6,6,5,4,4,5,6,4,2,0,0
456,1152,Departamento,Departamento Matacos,Departamento,Matacos,34028,2,4,5,6,6,5,3,1,0,0,0,0,0,0,0,0,0,1,3,5,6,6,6,6,6,6,5,4,3,4,5,5,3,1,0,0
479,1312,Departamento,Departamento Ramón Lista,Departamento,Ramón Lista,34063,2,4,5,6,6,5,3,1,0,0,0,0,0,0,0,0,0,1,3,5,6,6,6,6,6,6,5,4,3,3,4,4,3,1,0,0
507,1432,Departamento,Departamento Chical Co,Departamento,Chical Co,42063,3,3,3,3,3,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,3,2,1,0,0,0,0,0,1
508,1445,Departamento,Departamento Chalileo,Departamento,Chalileo,42049,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,3,3,3,3,3,2,1,0,0
509,1446,Departamento,Departamento Puelén,Departamento,Puelén,42112,3,3,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
