fid,gid,PROVINCIA,DEPARTAMENTO,JUL2020_max,AGO2020_max,SEP2020_max,OCT2020_max,NOV2020_max,DIC2020_max,ENE2021_max,FEB2021_max,MAR2021_max,ABR2021_max,MAY2021_max,JUN2021_max,JUL2021_max,AGO2021_max,SEP2021_max,OCT2021_max,NOV2021_max,DIC2021_max,ENE2022_max,FEB2022_max,MAR2022_max,ABR2022_max,MAY2022_max,JUN2022_max,JUL2022_max,AGO2022_max,SEP2022_max,OCT2022_max,NOV2022_max,DIC2022_max,ENE2023_max,FEB2023_max,MAR2023_max,ABR2023_max,MAY2023_max,JUN2023_max
86,1220,Buenos Aires,San Miguel,0,0,0,0,0,1,2,3,2,1,0,0,0,0,0,1,3,5,6,5,3,1,1,2,3,4,5,7,8,9,9,9,9,9,7,5
87,1221,Buenos Aires,San Andrés de Giles,0,0,0,0,1,2,3,3,3,3,2,1,0,0,0,1,3,5,6,5,3,1,1,2,3,4,6,8,9,9,9,9,9,9,7,5
88,1222,Buenos Aires,Junín,0,0,0,0,0,1,2,3,3,3,2,1,0,0,0,0,1,2,2,1,0,0,1,3,5,6,7,8,9,8,8,8,9,9,9,9
89,1223,Buenos Aires,Mercedes,0,0,0,0,0,1,2,3,3,3,2,1,0,0,0,1,3,5,4,2,0,0,1,2,3,4,6,8,9,9,9,9,9,9,7,5
90,1224,Buenos Aires,Pilar,0,0,0,0,1,2,3,3,3,3,2,1,0,0,0,1,3,5,6,5,3,1,1,2,3,4,6,8,9,9,9,9,9,9,7,5
91,1225,Buenos Aires,Luján,0,0,0,0,1,2,3,3,3,3,2,1,0,0,0,1,3,5,6,5,3,1,1,2,3,4,6,8,9,9,9,9,9,9,7,5
92,1226,Buenos Aires,Hurlingham,0,0,0,0,0,1,2,3,2,1,0,0,0,0,0,1,3,5,6,5,3,1,1,2,3,4,5,7,8,9,9,9,9,9,7,5
93,1227,Buenos Aires,Morón,0,0,0,0,0,1,2,3,2,1,0,0,0,0,0,1,3,5,6,5,3,1,1,2,3,4,5,7,8,9,9,9,9,9,7,5
94,1228,Buenos Aires,Chacabuco,0,0,0,0,0,1,2,3,3,3,2,1,0,0,0,1,3,5,4,2,0,0,1,3,5,6,7,8,9,9,9,9,9,9,8,7
95,1229,Buenos Aires,Malvinas Argentinas,0,0,0,0,1,2,3,3,2,1,0,0,0,0,0,1,3,5,6,5,3,1,1,2,3,4,5,7,8,9,9,9,9,9,7,5
96,1230,Buenos Aires,General San Martín,0,0,0,0,0,1,2,3,2,1,0,0,0,0,0,1,3,5,6,5,3,1,1,2,3,4,5,7,8,9,9,9,9,9,7,5
97,1231,Buenos Aires,Lincoln,0,0,0,0,1,2,3,3,3,3,2,1,0,0,0,0,0,0,0,0,0,0,1,2,4,5,7,8,9,8,8,8,9,9,9,9
98,1232,Buenos Aires,Ituzaingó,0,0,0,0,0,1,2,3,2,1,0,0,0,0,0,1,3,5,6,5,3,1,1,2,3,4,5,7,8,9,9,9,9,9,7,5
